region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile
India_SriLanka,1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,gujarat,23.02579,72.58727,FALSE,FALSE
India_SriLanka,1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,northeast,14.87505,76.46055,TRUE,TRUE
India_SriLanka,1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,west bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,assam,26,93,FALSE,FALSE
India_SriLanka,1968-0074-IND,1968,0074,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,10,1,1968,10,1,1000,NA,NA,NA,NA,NA,NA,NA,13.6054460870388,bihar,25.75,85.75,FALSE,FALSE
India_SriLanka,1968-0074-IND,1968,0074,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,10,1,1968,10,1,1000,NA,NA,NA,NA,NA,NA,NA,13.6054460870388,bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1968-0084-IND,1968,0084,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1968,12,4,1968,12,4,7,NA,15000,NA,15000,NA,NA,NA,13.6054460870388,ramanathapurum,NA,NA,NA,NA
India_SriLanka,1968-0084-IND,1968,0084,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1968,12,4,1968,12,4,7,NA,15000,NA,15000,NA,NA,NA,13.6054460870388,thanjavur,10.78523,79.13909,TRUE,TRUE
India_SriLanka,1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,guntur,16.29974,80.45729,TRUE,FALSE
India_SriLanka,1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,krishna,16.50745,80.6466,TRUE,FALSE
India_SriLanka,1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,godavari,17,81.16667,TRUE,FALSE
India_SriLanka,1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,andhra pradesh,15.83333,79.75,TRUE,FALSE
India_SriLanka,1969-0109-IND,1969,0109,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1969,11,4,1969,11,4,200,NA,NA,NA,NA,NA,NA,NA,14.3486278167258,andhra pradesh,15.83333,79.75,TRUE,FALSE
India_SriLanka,1971-0058-IND,1971,0058,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,1971,10,27,1971,10,27,9658,NA,4900000,2000000,6900000,NA,NA,30000,15.8382546266338,east coast,12.97327,80.26606,TRUE,TRUE
India_SriLanka,1971-0058-IND,1971,0058,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,1971,10,27,1971,10,27,9658,NA,4900000,2000000,6900000,NA,NA,30000,15.8382546266338,orissa,20.5,84.41667,FALSE,FALSE
India_SriLanka,1971-0112-IND,1971,0112,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1971,9,27,1971,9,27,60,NA,NA,NA,NA,NA,NA,NA,15.8382546266338,bihar,25.75,85.75,FALSE,FALSE
India_SriLanka,1971-0112-IND,1971,0112,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1971,9,27,1971,9,27,60,NA,NA,NA,NA,NA,NA,NA,15.8382546266338,west bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1972-0051-IND,1972,0051,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1972,9,10,1972,9,10,100,NA,4500000,NA,4500000,NA,NA,NA,16.3565247541826,andhra pradesh,15.83333,79.75,TRUE,FALSE
India_SriLanka,1972-0051-IND,1972,0051,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1972,9,10,1972,9,10,100,NA,4500000,NA,4500000,NA,NA,NA,16.3565247541826,orissa,20.5,84.41667,FALSE,FALSE
India_SriLanka,1972-0063-IND,1972,0063,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1972,12,1,1972,12,1,80,NA,30000,NA,30000,NA,NA,NA,16.3565247541826,madras,13.08784,80.27847,TRUE,TRUE
India_SriLanka,1974-0045-IND,1974,0045,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1974,8,15,1974,8,15,20,100,NA,NA,100,NA,NA,NA,19.2868744704009,west bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1974-0045-IND,1974,0045,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1974,8,15,1974,8,15,20,100,NA,NA,100,NA,NA,NA,19.2868744704009,madya pradesh,23.25469,77.40289,FALSE,FALSE
India_SriLanka,1974-0045-IND,1974,0045,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1974,8,15,1974,8,15,20,100,NA,NA,100,NA,NA,NA,19.2868744704009,gujarat,23.02579,72.58727,FALSE,FALSE
India_SriLanka,1974-0122-IND,1974,0122,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Govern,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,20,Kph,NA,NA,1974,5,29,1974,5,29,NA,NA,25000,NA,25000,NA,NA,NA,19.2868744704009,midnapore,22.33971,87.32501,FALSE,FALSE
India_SriLanka,1975-0058-IND,1975,0058,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1975,11,24,1975,11,24,NA,NA,NA,2000,2000,NA,NA,NA,21.0503075151625,madras,13.08784,80.27847,TRUE,TRUE
