year_no,region,seasonal_rain
1941,Malaysia_Singapore_Thai,35.693033854166664
1941,Vietnam,38.59256490071615
1941,Phil,31.963241577148438
1941,Brazil,17.977266947428387
1941,Tanzania_Kenya,15.91778818766276
1942,Central_America,28.00279998779297
1942,Venezuela_Colombia,19.62347920735677
1942,India_SriLanka,13.338333129882812
1942,Malaysia_Singapore_Thai,46.21142578125
1942,Vietnam,45.49923197428385
1942,Phil,31.934351603190105
1942,Brazil,15.385026295979818
1942,Tanzania_Kenya,24.766522725423176
1943,Central_America,29.883333841959637
1943,Venezuela_Colombia,14.992754618326822
1943,India_SriLanka,17.13629659016927
1943,Malaysia_Singapore_Thai,28.75017801920573
1943,Vietnam,40.66974385579427
1943,Phil,31.688888549804688
1943,Brazil,16.780066172281902
1943,Tanzania_Kenya,15.059239705403646
1944,Central_America,25.412801106770832
1944,Venezuela_Colombia,22.48608652750651
1944,India_SriLanka,20.083890279134113
1944,Malaysia_Singapore_Thai,27.051129659016926
1944,Vietnam,38.48307800292969
1944,Phil,28.945648193359375
1944,Brazil,21.819842020670574
1944,Tanzania_Kenya,19.65195592244466
1945,Central_America,27.144800821940105
1945,Venezuela_Colombia,12.078695933024088
1945,India_SriLanka,14.332555135091146
1945,Malaysia_Singapore_Thai,30.970062255859375
1945,Vietnam,32.7530771891276
1945,Phil,36.73713175455729
1945,Brazil,22.26758575439453
1945,Tanzania_Kenya,17.460833231608074
1946,Central_America,27.74053192138672
1946,Venezuela_Colombia,13.434927622477213
1946,India_SriLanka,24.797444661458332
1946,Malaysia_Singapore_Thai,34.853271484375
1946,Vietnam,32.36205291748047
1946,Phil,34.18018595377604
1946,Brazil,17.225813547770183
1946,Tanzania_Kenya,15.66333262125651
1947,Central_America,27.831865946451824
1947,Venezuela_Colombia,12.532609303792318
1947,India_SriLanka,10.432074228922525
1947,Malaysia_Singapore_Thai,31.06940460205078
1947,Vietnam,31.12871805826823
1947,Phil,34.468798319498696
1947,Brazil,27.775306701660156
1947,Tanzania_Kenya,24.8669916788737
1948,Central_America,25.31146748860677
1948,Venezuela_Colombia,12.139419555664062
1948,India_SriLanka,15.945741017659506
1948,Malaysia_Singapore_Thai,27.900716145833332
1948,Vietnam,33.52512868245443
1948,Phil,29.091761271158855
1948,Brazil,20.998132069905598
1948,Tanzania_Kenya,16.20282491048177
1949,Central_America,23.065999348958332
1949,Venezuela_Colombia,16.417246500651043
1949,India_SriLanka,11.506556193033854
1949,Malaysia_Singapore_Thai,33.39880879720052
1949,Vietnam,43.86615498860677
1949,Phil,34.54638926188151
1949,Brazil,23.046335856119793
1949,Tanzania_Kenya,12.137282053629557
1950,Central_America,26.19000244140625
1950,Venezuela_Colombia,17.207244873046875
1950,India_SriLanka,11.269371032714844
1950,Malaysia_Singapore_Thai,29.10803731282552
1950,Vietnam,40.67692565917969
1950,Phil,26.84870147705078
1950,Brazil,25.132614135742188
1950,Tanzania_Kenya,19.830434163411457
1951,Central_America,24.27880096435547
1951,Venezuela_Colombia,11.229854583740234
1951,India_SriLanka,11.354815165201822
1951,Malaysia_Singapore_Thai,30.758392333984375
1951,Vietnam,39.141797383626304
1951,Phil,35.885459899902344
1951,Brazil,15.51193364461263
1951,Tanzania_Kenya,21.97905731201172
1952,Central_America,25.22173309326172
1952,Venezuela_Colombia,13.297246297200521
1952,India_SriLanka,12.197925567626953
1952,Malaysia_Singapore_Thai,24.36981964111328
1952,Vietnam,34.63769022623698
1952,Phil,41.792406717936196
1952,Brazil,21.825119018554688
1952,Tanzania_Kenya,15.525652567545572
1953,Central_America,27.02679951985677
1953,Venezuela_Colombia,12.411449432373047
1953,India_SriLanka,15.605260213216146
1953,Malaysia_Singapore_Thai,29.81488037109375
1953,Vietnam,41.4494883219401
1953,Phil,38.55351765950521
1953,Brazil,17.48948033650716
1953,Tanzania_Kenya,17.340652465820312
1954,Central_America,24.320398966471355
1954,Venezuela_Colombia,15.494059244791666
1954,India_SriLanka,15.437222798665365
1954,Malaysia_Singapore_Thai,32.26416778564453
1954,Vietnam,27.956156412760418
1954,Phil,34.252685546875
1954,Brazil,17.55907948811849
1954,Tanzania_Kenya,17.00942103068034
1955,Central_America,32.21533203125
1955,Venezuela_Colombia,17.06492869059245
1955,India_SriLanka,12.830815633138021
1955,Malaysia_Singapore_Thai,29.145477294921875
1955,Vietnam,43.41974385579427
1955,Phil,35.257965087890625
1955,Brazil,18.83249282836914
1955,Tanzania_Kenya,18.214383443196613
1956,Central_America,29.315335591634113
1956,Venezuela_Colombia,15.901593526204428
1956,India_SriLanka,17.620296478271484
1956,Malaysia_Singapore_Thai,35.05018107096354
1956,Vietnam,38.434356689453125
1956,Phil,42.41546122233073
1956,Brazil,18.360972086588543
1956,Tanzania_Kenya,14.919166564941406
1957,Central_America,19.413333892822266
1957,Venezuela_Colombia,12.146376291910807
1957,India_SriLanka,21.559183756510418
1957,Malaysia_Singapore_Thai,37.16339111328125
1957,Vietnam,28.815640767415363
1957,Phil,25.056111653645832
1957,Brazil,27.22095998128255
1957,Tanzania_Kenya,20.220579783121746
1958,Central_America,30.169199625651043
1958,Venezuela_Colombia,9.441739400227865
1958,India_SriLanka,13.433666229248047
1958,Malaysia_Singapore_Thai,27.4898198445638
1958,Vietnam,26.397178649902344
1958,Phil,33.557963053385414
1958,Brazil,12.903612772623697
1958,Tanzania_Kenya,16.293190002441406
1959,Central_America,29.450533548990887
1959,Venezuela_Colombia,12.958260854085287
1959,India_SriLanka,13.80426025390625
1959,Malaysia_Singapore_Thai,33.543212890625
1959,Vietnam,29.255897521972656
1959,Phil,31.4593505859375
1959,Brazil,19.68694559733073
1959,Tanzania_Kenya,15.619927724202475
1960,Central_America,24.914532979329426
1960,Venezuela_Colombia,14.968986511230469
1960,India_SriLanka,15.569814046223959
1960,Malaysia_Singapore_Thai,31.374107360839844
1960,Vietnam,34.38589731852213
1960,Phil,32.11722056070963
1960,Brazil,23.533973693847656
1960,Tanzania_Kenya,20.90014394124349
1961,Central_America,25.730000813802082
1961,Venezuela_Colombia,16.029130299886067
1961,India_SriLanka,13.782222747802734
1961,Malaysia_Singapore_Thai,34.5567881266276
1961,Vietnam,27.330769856770832
1961,Phil,31.03240966796875
1961,Brazil,24.411760965983074
1961,Tanzania_Kenya,13.365325927734375
1962,Central_America,21.838666280110676
1962,Venezuela_Colombia,12.364638010660807
1962,India_SriLanka,15.801740010579428
1962,Malaysia_Singapore_Thai,29.85345204671224
1962,Vietnam,35.712565104166664
1962,Phil,27.0299072265625
1962,Brazil,20.988666534423828
1962,Tanzania_Kenya,17.42271677652995
1963,Central_America,26.772933959960938
1963,Venezuela_Colombia,12.379276275634766
1963,India_SriLanka,19.039592742919922
1963,Malaysia_Singapore_Thai,29.86750030517578
1963,Vietnam,35.367950439453125
1963,Phil,25.40870412190755
1963,Brazil,21.475186665852863
1963,Tanzania_Kenya,22.33166758219401
1964,Central_America,30.01439921061198
1964,Venezuela_Colombia,11.277970631917318
1964,India_SriLanka,12.297925313313803
1964,Malaysia_Singapore_Thai,25.902618408203125
1964,Vietnam,49.0479482014974
1964,Phil,41.48638916015625
1964,Brazil,29.283559163411457
1964,Tanzania_Kenya,20.293041229248047
1965,Central_America,29.3000005086263
1965,Venezuela_Colombia,14.787101745605469
1965,India_SriLanka,16.028703053792317
1965,Malaysia_Singapore_Thai,36.75863138834635
1965,Vietnam,37.278465270996094
1965,Phil,27.693705240885418
1965,Brazil,24.264439900716145
1965,Tanzania_Kenya,14.27362314860026
1966,Central_America,24.45946502685547
1966,Venezuela_Colombia,20.551302591959637
1966,India_SriLanka,19.19622294108073
1966,Malaysia_Singapore_Thai,34.79267883300781
1966,Vietnam,39.682820638020836
1966,Phil,38.7683359781901
1966,Brazil,18.935746510823567
1966,Tanzania_Kenya,19.537501017252605
1967,Central_America,27.836268107096355
1967,Venezuela_Colombia,12.47405751546224
1967,India_SriLanka,18.039554595947266
1967,Malaysia_Singapore_Thai,30.940236409505207
1967,Vietnam,28.547434488932293
1967,Phil,28.561668395996094
1967,Brazil,27.22850799560547
1967,Tanzania_Kenya,19.747174580891926
1968,Central_America,28.198267618815105
1968,Venezuela_Colombia,9.819419860839844
1968,India_SriLanka,12.165629069010416
1968,Malaysia_Singapore_Thai,29.56958516438802
1968,Vietnam,30.824615478515625
1968,Phil,20.954259236653645
1968,Brazil,24.654706319173176
1968,Tanzania_Kenya,25.067209879557293
1969,Central_America,24.266133626302082
1969,Venezuela_Colombia,21.082608540852863
1969,India_SriLanka,21.90540822347005
1969,Malaysia_Singapore_Thai,35.93571472167969
1969,Vietnam,38.48487345377604
1969,Phil,29.1767578125
1969,Brazil,22.30743916829427
1969,Tanzania_Kenya,14.935724894205729
1970,Central_America,23.375335693359375
1970,Venezuela_Colombia,17.6862309773763
1970,India_SriLanka,14.593666076660156
1970,Malaysia_Singapore_Thai,33.63089497884115
1970,Vietnam,35.04461669921875
1970,Phil,43.706573486328125
1970,Brazil,16.083333333333332
1970,Tanzania_Kenya,19.09941864013672
1971,Central_America,17.821200052897137
1971,Venezuela_Colombia,11.57681147257487
1971,India_SriLanka,14.822110493977865
1971,Malaysia_Singapore_Thai,33.688987731933594
1971,Vietnam,34.09205118815104
1971,Phil,44.81935119628906
1971,Brazil,23.028025309244793
1971,Tanzania_Kenya,17.206558227539062
1972,Central_America,22.212265014648438
1972,Venezuela_Colombia,9.0807253519694
1972,India_SriLanka,19.2566655476888
1972,Malaysia_Singapore_Thai,29.089584350585938
1972,Vietnam,30.740257263183594
1972,Phil,23.71685282389323
1972,Brazil,16.888704935709637
1972,Tanzania_Kenya,17.21923828125
1973,Central_America,23.746800740559895
1973,Venezuela_Colombia,19.02014414469401
1973,India_SriLanka,16.08996327718099
1973,Malaysia_Singapore_Thai,36.39130655924479
1973,Vietnam,33.2556406656901
1973,Phil,46.3861083984375
1973,Brazil,24.639066060384113
1973,Tanzania_Kenya,15.735216776529947
1974,Central_America,25.743998209635418
1974,Venezuela_Colombia,16.408695220947266
1974,India_SriLanka,9.467962900797525
1974,Malaysia_Singapore_Thai,24.539820353190105
1974,Vietnam,30.25
1974,Phil,38.584075927734375
1974,Brazil,32.78079732259115
1974,Tanzania_Kenya,17.225725809733074
1975,Central_America,27.602266947428387
1975,Venezuela_Colombia,23.35058085123698
1975,India_SriLanka,17.160888671875
1975,Malaysia_Singapore_Thai,28.739344278971355
1975,Vietnam,38.277435302734375
1975,Phil,32.90648396809896
1975,Brazil,24.607386271158855
1975,Tanzania_Kenya,17.175072987874348
1976,Central_America,30.28306833902995
1976,Venezuela_Colombia,10.989710489908854
1976,India_SriLanka,18.96537144978841
1976,Malaysia_Singapore_Thai,35.30470275878906
1976,Vietnam,34.824869791666664
1976,Phil,30.007314046223957
