Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,region,location_word,lat,long
1956-0038-IND,1956,0038,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,6,Richter,23,70,21:02,NA,1956,7,21,1956,7,21,113,219,NA,NA,219,NA,NA,NA,10.6327191682906,India_SriLanka,k,17.48486,78.41376
1956-0038-IND,1956,0038,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,6,Richter,23,70,21:02,NA,1956,7,21,1956,7,21,113,219,NA,NA,219,NA,NA,NA,10.6327191682906,India_SriLanka,la,19.07283,72.88261
1956-0007-IND,1956,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1956,5,29,1956,5,29,NA,NA,1000000,NA,1000000,NA,NA,NA,10.6327191682906,India_SriLanka,parganas,22.71,88.7108
1956-0007-IND,1956,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1956,5,29,1956,5,29,NA,NA,1000000,NA,1000000,NA,NA,NA,10.6327191682906,India_SriLanka,midnapore,22.33971,87.32501
1956-0007-IND,1956,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1956,5,29,1956,5,29,NA,NA,1000000,NA,1000000,NA,NA,NA,10.6327191682906,India_SriLanka,west bengal,22.56263,88.36304
1956-0012-IND,1956,0012,Natural,Hydrological,Flood,NA,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1956,8,1,1956,8,1,NA,NA,NA,2000,2000,NA,NA,NA,10.6327191682906,India_SriLanka,gujarat,23.02579,72.58727
1956-0012-IND,1956,0012,Natural,Hydrological,Flood,NA,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1956,8,1,1956,8,1,NA,NA,NA,2000,2000,NA,NA,NA,10.6327191682906,India_SriLanka,saurashtra,21.96667,70.5
1956-0012-IND,1956,0012,Natural,Hydrological,Flood,NA,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1956,8,1,1956,8,1,NA,NA,NA,2000,2000,NA,NA,NA,10.6327191682906,India_SriLanka,kutch,23.58333,70
1956-0016-IND,1956,0016,Natural,Hydrological,Flood,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1956,9,9,1956,9,9,100,NA,NA,75000,75000,NA,NA,NA,10.6327191682906,India_SriLanka,bihar,25.75,85.75
1956-0016-IND,1956,0016,Natural,Hydrological,Flood,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1956,9,9,1956,9,9,100,NA,NA,75000,75000,NA,NA,NA,10.6327191682906,India_SriLanka,uttar pradesh,26.46523,80.34975
